YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ORISSA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,TELANGANA
2010,330209.0564638,9720.1720671,124268.4082090,207295.1926379,31500.3062597,499605.6040329,249823.4552757,56319.5239360,61986.6628807,130488.9543595,538790.6955123,309969.0946772,259230.1690989,133464.9164795,1080814.5878042,10513.5229221,16143.0585640,6598.3303986,9754.5672676,196839.6778694,226995.4768816,361435.8554958,8628.5694055,628151.2480917,15962.0300499,612018.7067716,92717.0888381,456461.6610105,3138.7589504,16655.5821523,299873.9628476,14619.8164933,307974.0313275
2011,339995.5241940,10229.4600000,129354.1200000,228497.4445300,38008.5464860,532809.4587290,271152.4806820,60536.2498140,65319.1279280,137383.4700000,554952.2022990,328021.1229260,282371.0400000,142273.4160630,1126594.6978750,11501.0658000,18028.0283790,6404.1400000,10554.2718690,204225.9496390,239226.9521420,395330.9316780,9742.1768370,674478.3504220,17419.0500000,645131.5532170,101959.6256980,473204.6511180,3403.6217480,16929.9782420,314650.0213090,15159.5600000,325139.3400000
2012,341335.2231570,10398.7700000,132517.6000000,236932.5512450,32452.8504780,596658.8336740,289756.2204540,64518.5206780,67315.5627090,149526.2900000,593192.0328710,348615.8055360,306853.3400000,148760.3040120,1189710.8397820,11515.0726000,18322.8853710,6836.4400000,11163.0162870,216301.0722270,251812.5938170,409802.4908070,9970.3272380,709343.1348440,18857.2100000,673552.1893470,109528.4945440,492901.1663710,3557.5236940,18305.1943580,334193.2962850,15507.3700000,334204.7200000
2013,360239.2257750,11226.4400000,138724.7600000,246914.7420090,27971.1022930,641488.8106190,314931.1968250,69398.1551520,70535.8264010,150609.3300000,646786.9485200,364706.7731460,322597.6000000,163494.3264390,1267551.2697310,12519.4623000,18396.5507150,7831.4524970,11923.1752600,233121.8739550,267515.2100000,434292.2192850,10589.8560240,750416.1623180,20623.0600000,707469.1041210,117777.5084070,503951.5671410,3811.1520630,19813.4544990,356527.5126260,17238.5100000,349592.6600000
2014,397063.8324910,13081.6000000,146425.3869880,255738.8121590,36041.6814580,705628.8360070,333359.2474810,74552.9824970,67153.7628720,170568.0000000,671283.4979700,382134.2554520,339246.9000000,165354.2083060,1345341.4633030,13615.1700000,17892.8539580,9960.0200000,12406.4091360,235930.7377170,278484.6000000,465407.7311100,11436.7016320,791915.0973070,24406.6000000,729686.3008000,125701.6631370,515701.6028970,4151.0694280,20353.0854860,387638.7395220,16054.6824710,372896.7400000
2015,446996.8600000,12889.0600000,167628.6659500,269199.6011080,41929.4432980,774775.2151270,372700.2450170,80562.9156560,80602.3102790,158231.1200000,749951.6130690,411150.1494300,370715.6700000,168878.8800000,1452513.3948880,14635.1600000,18330.2369730,10947.9034500,12599.6986410,253191.6726430,294894.8566170,501921.5114360,12484.2135740,862436.9805160,23745.3100000,792048.7593600,136143.5115310,546988.0508630,4483.2089930,22058.1592680,431729.5859810,17024.6649740,416892.3724070
2016,477565.5526200,13396.4300000,179631.8964870,289264.8743110,46370.6797130,843930.3358810,412054.6146970,88112.1223300,82635.7314400,176363.1200000,851393.9914870,443615.3007100,419465.2500000,187540.5200000,1596120.7476030,15200.9500000,19294.8584700,12029.3728150,13487.8937930,293348.2482300,315782.9924020,529650.3844990,13415.8449270,922084.3072190,27203.6000000,888453.0079700,150302.9427190,584910.8272820,5090.6170650,23842.4001380,461592.3775290,18283.7911610,455731.0900000
2017,526625.9554960,13922.6300000,195262.2820890,312605.1364840,47076.8467240,946511.1944310,434407.1727430,93524.9756800,87590.6829030,191573.0700000,915641.8926070,473181.7898050,441956.4300000,194073.2200000,1661065.0072150,16870.3600000,19963.6849750,13779.4130270,14177.7949860,316191.8905060,335056.7856600,557618.2069760,15204.3586180,1000308.1634510,29505.1800000,922457.5124870,162204.7860830,623786.8220410,5749.6855980,25289.4600000,487631.1457200,20024.1577880,498145.4600000
2018,558861.6851740,14897.1000000,204627.0585020,345545.4510650,47424.5270330,1034399.0104040,470327.6431580,99217.8269700,93071.8217970,208701.4600000,974815.3000880,510786.9336100,482361.0200000,209210.7400000,1728577.9530550,16192.9600000,20967.9497530,14115.9849520,15054.7029350,338339.4110380,353942.4692490,568101.8829530,15889.0640470,1071601.8973250,32703.1500000,949184.4540180,166518.8079100,659287.8942470,6107.6293340,26654.1500000,506332.4744840,23467.7812030,544440.5948440
2019,595658.1602970,17090.9400000,212315.3500000,359195.5551980,48508.8428500,1110178.5969570,507776.0041070,102613.0224680,90791.4912300,209912.6700000,1030356.5405070,521454.6476560,508145.7700000,220623.9700000,1782902.8875510,17755.8800000,21997.3000440,13050.1295920,15853.2459570,346106.3805940,367558.1278430,598549.6261920,16587.7068950,1099401.7586940,33694.9800000,980106.3196730,166351.0764310,697554.4718400,6430.2349070,27817.3200000,521994.1132470,23672.0682690,572736.3970160
2020,593868.8795930,16588.4800000,199646.2000000,344182.9841970,46420.9561530,1099258.5980260,480470.5149280,98132.1097940,87101.7227180,196467.2100000,1026874.5693960,472272.2457960,490237.6400000,215126.3000000,1653093.9569790,18230.1273810,20619.8947080,11780.5800000,15200.4487360,326252.8114940,352357.1639920,583644.9479770,16147.1671200,1094471.1235310,32615.2600000,910010.7368040,156791.5838510,706648.3266970,,24422.1900000,496284.2654830,22815.5990860,537753.2868150
2021,661432.0057320,,,382274.4911290,,,527733.1208640,106003.7938610,97334.7323620,213680.9912080,1127480.4495650,506107.3387440,539180.4600000,,,,22527.3451000,,,365115.6982530,376780.8213930,648141.6301490,17442.4546110,1181922.7707830,35394.6019420,948838.5710000,167486.5696620,,,,548057.8587210,23666.3820410,599614.0106380
